Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
8.416878676414489746e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.724300000000000210e+01,3.489699999999999847e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.516988873481750488e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.739000000000000057e+01,3.499499999999999744e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.617199754714965820e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.748799999999999955e+01,3.479999999999999716e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.717320561408996582e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.748799999999999955e+01,3.509300000000000352e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.817443752288818359e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.768299999999999983e+01,3.514200000000000301e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.917544651031494141e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.763400000000000034e+01,3.523899999999999721e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.017707037925720215e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.782999999999999829e+01,3.538600000000000279e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.117830157279968262e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.802499999999999858e+01,3.528799999999999670e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.217944788932800293e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.822099999999999653e+01,3.563100000000000023e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.318058395385742188e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.841599999999999682e+01,3.538600000000000279e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.419777512550354004e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.851400000000000290e+01,3.553300000000000125e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.519891309738159180e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.856300000000000239e+01,3.567900000000000205e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.620046186447143555e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.856300000000000239e+01,3.563100000000000023e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.720172405242919922e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.851400000000000290e+01,3.553300000000000125e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.820213365554809570e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.885600000000000165e+01,3.582600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.921796989440917969e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.871000000000000085e+01,3.572800000000000153e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.002198367118835449e+02,2.000000000000000000e+01,2.000000000000000000e+01,3.890500000000000114e+01,3.592399999999999949e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.012211863994598389e+02,2.000000000000000000e+01,2.000000000000000000e+01,3.914999999999999858e+01,3.597299999999999898e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.022232499122619629e+02,2.000000000000000000e+01,2.000000000000000000e+01,3.910099999999999909e+01,3.597299999999999898e+01,2.300000000000000000e+01,2.300000000000000000e+01
