Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
3.024907717704772949e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.934499999999999886e+01,4.012700000000000244e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.035059328079223633e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.012700000000000244e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.045186951160430908e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.032300000000000040e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.055214197635650635e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.042000000000000171e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.065219578742980957e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.046900000000000119e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.075316059589385986e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.032300000000000040e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.085430934429168701e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.051800000000000068e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.095435981750488281e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.919800000000000040e+01,4.056700000000000017e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.105565340518951416e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.066499999999999915e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.115624084472656250e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.066499999999999915e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.125712137222290039e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.056700000000000017e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.135720965862274170e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.071399999999999864e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.145768907070159912e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.066499999999999915e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.155859692096710205e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.076200000000000045e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.165911042690277100e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.056700000000000017e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.175929865837097168e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.051800000000000068e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.185976655483245850e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.071399999999999864e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.196043791770935059e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.056700000000000017e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.206061835289001465e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.905199999999999960e+01,4.066499999999999915e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.216149115562438965e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.900300000000000011e+01,4.061599999999999966e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.226217217445373535e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.905199999999999960e+01,4.061599999999999966e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.236223471164703369e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.051800000000000068e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.246237072944641113e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.046900000000000119e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.256339192390441895e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.046900000000000119e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.266465406417846680e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.042000000000000171e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.276556348800659180e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.919800000000000040e+01,4.037100000000000222e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.286703002452850342e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.046900000000000119e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.296771142482757568e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.027400000000000091e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.306840612888336182e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.046900000000000119e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.316936993598937988e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.905199999999999960e+01,4.037100000000000222e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.326986036300659180e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.046900000000000119e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.336995882987976074e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.905199999999999960e+01,4.032300000000000040e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.347051262855529785e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.900300000000000011e+01,4.032300000000000040e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.357212340831756592e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.017600000000000193e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.367298791408538818e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.017600000000000193e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.377333571910858154e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.017600000000000193e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.387343602180480957e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.017600000000000193e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.397447509765625000e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.002900000000000347e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.407488195896148682e+02,0.000000000000000000e+00,1.000000000000000000e+02,3.910099999999999909e+01,3.963799999999999812e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.417503411769866943e+02,0.000000000000000000e+00,1.000000000000000000e+02,3.910099999999999909e+01,3.973599999999999710e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.427506649494171143e+02,0.000000000000000000e+00,1.000000000000000000e+02,3.934499999999999886e+01,3.978499999999999659e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.437661426067352295e+02,0.000000000000000000e+00,5.849999999999866418e+01,3.934499999999999886e+01,3.988300000000000267e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.447702574729919434e+02,0.000000000000000000e+00,1.000000000000000000e+02,3.910099999999999909e+01,3.968699999999999761e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.457850549221038818e+02,0.000000000000000000e+00,5.849999999999866418e+01,3.919800000000000040e+01,3.988300000000000267e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.467858436107635498e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.919800000000000040e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.477869260311126709e+02,0.000000000000000000e+00,1.000000000000156319e+01,3.910099999999999909e+01,3.997999999999999687e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.487953679561614990e+02,0.000000000000000000e+00,3.399999999999891998e+01,3.890500000000000114e+01,3.993200000000000216e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.498058836460113525e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.002900000000000347e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.508079984188079834e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.900300000000000011e+01,4.012700000000000244e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.518176877498626709e+02,0.000000000000000000e+00,1.000000000000156319e+01,3.905199999999999960e+01,3.997999999999999687e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.528186273574829102e+02,0.000000000000000000e+00,1.000000000000156319e+01,3.895400000000000063e+01,3.997999999999999687e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.538189322948455811e+02,0.000000000000000000e+00,1.000000000000156319e+01,3.885600000000000165e+01,3.997999999999999687e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.548210477828979492e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.890500000000000114e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.558344995975494385e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.875900000000000034e+01,4.017600000000000193e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.568375530242919922e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.875900000000000034e+01,4.002900000000000347e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.578474361896514893e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.890500000000000114e+01,4.012700000000000244e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.588603043556213379e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.875900000000000034e+01,4.022500000000000142e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.598723449707031250e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.866100000000000136e+01,4.027400000000000091e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.608736481666564941e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.866100000000000136e+01,4.027400000000000091e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.618868927955627441e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.880700000000000216e+01,4.012700000000000244e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.629023303985595703e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.885600000000000165e+01,4.012700000000000244e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.639152386188507080e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.880700000000000216e+01,4.002900000000000347e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.649158582687377930e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.890500000000000114e+01,4.002900000000000347e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.659165530204772949e+02,0.000000000000000000e+00,1.000000000000156319e+01,3.890500000000000114e+01,3.997999999999999687e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.669242432117462158e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.875900000000000034e+01,4.012700000000000244e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.679295632839202881e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.861200000000000188e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.689390039443969727e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.861200000000000188e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.699548430442810059e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.875900000000000034e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.709611272811889648e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.905199999999999960e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.719674999713897705e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.900300000000000011e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.729700729846954346e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.905199999999999960e+01,4.012700000000000244e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.739837684631347656e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.905199999999999960e+01,4.002900000000000347e+01,4.000000000000000000e+01,4.000000000000000000e+01
